title,wiki_page,horror_subgenre,developers,female_developer_present?,release_date,platforms,player_perspective,female_protagonist_playable_character?,motherhood,motherhood_keywords,domesticity,domesticity_keywords,trauma_and_mental illness,trauma_and_mental_illness_keywords,embodiment,embodiment_keywords,captivity,captivity_keywords,violence,violence_keywords,sexualized_violence,sexualized_violence_keywords,girlhoodhorror,girlhood horror_keywords,woman_as_monster,woman_as_monster,queer_themes,queer themes_keywords,combined_keywords,interpretative_evidence_sentences
Remothered: Broken Porcelain,en.wikipedia.org/wiki/Remothered:_Broken_Porcelain,survival horror,Stormind Games,NONE LISTED,2020-10-13,Microsoft Windows; Playstation 4; Xbox One; Nintendo Switch,,TRUE,TRUE,mother; pregnant; daughter,TRUE,husband; family; father,TRUE,hallucination; suicide,TRUE,body; disfigured; memories,TRUE,abducted; captivity; escape; must escape,TRUE,murder; murdered; killed,TRUE,raping; forced,FALSE,,FALSE,,TRUE,transgender,mother; pregnant; daughter; husband; family; father; hallucination; suicide; body; disfigured; memories; abducted; captivity; escape; must escape; murder; murdered; killed; raping; forced; transgender,"""Stefano reveals that Jennifer was not adopted by Richard Felton, but is in fact Felton's biological daughter (as Felton is actually a woman but was forced to live as a man by his father since he was 10 years old), with Stefano himself being Jennifer's illegitimate biological father as the result of raping Felton in revenge for marrying Arianna"""
Remothered: Tormented Fathers,en.wikipedia.org/wiki/Remothered:_Tormented_Fathers,survival horror,Stormind Games,NONE LISTED,2018-01-30,Microsoft Windows; Playstation 4; Xbox One; Nintendo Switch,,TRUE,TRUE,mother; baby; daughter,TRUE,wife; family,TRUE,trauma; hallucination; suicide,TRUE,memories,TRUE,imprisoned; escape,TRUE,murder; murdered,FALSE,,FALSE,,FALSE,,TRUE,testosterone treatments,mother; baby; daughter; wife; family; trauma; hallucination; suicide; memories; imprisoned; escape; murder; murdered; testosterone treatments,"""Reed discovers Felton's birth certificate, listing his name as ""Jennifer Richardine Felton"". This knowledge causes Reed to realize that Felton was actually born a girl but was raised as a boy and given testosterone treatments by her cruel father, leading Felton to developing a split personality"""
Resident Evil 2,https://en.wikipedia.org/wiki/Resident_Evil_2_%282019_video_game%29,survival horror,Capcom,NONE LISTED,2019-01-25,PlayStation 4 Windows Xbox One PlayStation 5 Xbox Series X/S Nintendo Switch iOS iPadOS macOS,third-person,TRUE,TRUE,mother; daughter,FALSE,,TRUE,hallucinate,TRUE,mutation; mutated; body; memories; infected,TRUE,escape; must escape,TRUE,violent; violence; murder; killed,FALSE,,FALSE,,FALSE,,FALSE,,mother; daughter; hallucinate; mutation; mutated; body; memories; infected; escape; must escape; violent; violence; murder; killed,
Resident Evil 3: Nemesis,https://en.wikipedia.org/wiki/Resident_Evil_3%3A_Nemesis,survival horror,Capcom,TRUE,1999-09-22,"PlayStation , Windows , Dreamcast , GameCube",third-person,TRUE,FALSE,,FALSE,,FALSE,,TRUE,infected,TRUE,escape,TRUE,killed,FALSE,,FALSE,,FALSE,,FALSE,,infected; escape; killed,
Resident Evil 4,https://en.wikipedia.org/wiki/Resident_Evil_4,survival horror,Capcom Production Studio 4 [ a ],TRUE,2005-01-11,GameCube PlayStation 2 Windows Wii iOS Zeebo PlayStation 3 Xbox 360 Android PlayStation 4 Xbox One Nintendo Switch Oculus Quest 2,third-person,FALSE,TRUE,daughter,FALSE,,TRUE,hallucination; asylum,TRUE,mutated; body; experimentation; soul,TRUE,kidnapped; abducted; held captive; captive; escape,FALSE,,FALSE,,TRUE,young girl,FALSE,,FALSE,,daughter; hallucination; asylum; mutated; body; experimentation; soul; kidnapped; abducted; held captive; captive; escape; young girl,
Resident Evil 5,https://en.wikipedia.org/wiki/Resident_Evil_5,survival horror,Capcom,NONE LISTED,2009-03-05,PlayStation 3 Xbox 360 Windows Shield Android TV PlayStation 4 Xbox One Nintendo Switch,third-person,TRUE,FALSE,,FALSE,,FALSE,,TRUE,infected; mutates,TRUE,escape,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,infected; mutates; escape,"""he has betrayed Gionne and infected her with Uroboros. She mutates into a giant monster."""
Resident Evil: Code Veronica,en.wikipedia.org/wiki/Resident_Evil_Code:_Veronica,survival horror,Capcom Production Studio 4,NONE LISTED,2000-02-03,Dreamcast; Playstation 2; GameCube; Playstation 3; Xbox 360,third-person,TRUE,FALSE,,TRUE,family,FALSE,,TRUE,experimentation; soul,TRUE,imprisoned; escape,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,family; experimentation; soul; imprisoned; escape,
Rule of Rose,en.wikipedia.org/wiki/Rule_of_Rose,survival horror; psychological horror,Punchline,NONE LISTED,2006-01-19,Playstation 2,,TRUE,FALSE,,FALSE,,TRUE,trauma; suicidal; suicide,TRUE,body; memories,TRUE,kidnapped; abducted; captive; escape,TRUE,violent; violence; killed,FALSE,,TRUE,teen; young girl,FALSE,,FALSE,,trauma; suicidal; suicide; body; memories; kidnapped; abducted; captive; escape; violent; violence; killed; teen; young girl,
Scarlet Hollow,https://en.wikipedia.org/wiki/Scarlet_Hollow,horror,Black Tabby Games,TRUE,2021-06-11,Linux MacOS Microsoft Windows,visual novel,FALSE,TRUE,mother; daughter,TRUE,family,FALSE,,TRUE,flesh,TRUE,escape,TRUE,killed,FALSE,,FALSE,,FALSE,,FALSE,,mother; daughter; family; flesh; escape; killed,
Scorn,https://en.wikipedia.org/wiki/Scorn_(video_game),survival horror; adventure horror,Ebb Software,NONE LISTED,2022-10-14,Microsoft Windows Xbox Series X/S PlayStation 5,,FALSE,FALSE,,FALSE,,FALSE,,TRUE,"flesh, mutated",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,gender fluid,"flesh, mutated; gender fluid","""The silent humanoid protagonist""; ""With the parasite now merged with the protagonist, the two form a mass of seemingly immovable flesh."""
Senua's Saga: Hellblade II,https://en.wikipedia.org/wiki/Senua%27s_Saga%3A_Hellblade_II,psychological horror,Ninja Theory,TRUE,2024-05-21,Windows Xbox Series X/S PlayStation 5,,TRUE,TRUE,infant,FALSE,,TRUE,psychosis; mental illness; hallucination,TRUE,body; memories,FALSE,escape,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,infant; psychosis; mental illness; hallucination; body; memories; escape,
Shadows of the Damned,https://en.wikipedia.org/wiki/Shadows_of_the_Damned,psychological horror,Grasshopper Manufacture,NONE LISTED,2011-06-21,PlayStation 3 Xbox 360 Nintendo Switch PlayStation 4 PlayStation 5 Windows Xbox One Xbox Series X/S,third-person,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,abducted,TRUE,killed; torture,FALSE,,FALSE,,TRUE,she transforms; demon,FALSE,,abducted; killed; torture; she transforms; demon,"""Demon hunter Garcia Hotspur comes home to find his girlfriend, Paula, being abducted by the Lord of Demons, Fleming, who brags that he will take Paula with him to kill her again and again.""; ""she transforms into a demon herself."""
Signalis,en.wikipedia.org/wiki/Signalis,survival horror,rose-engine,TRUE,2022-10-27,Windows; Nintendo Switch; Playstation 4; Xbox One,top-down,TRUE,FALSE,,FALSE,,FALSE,,TRUE,memories,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,lgbtq+,memories; lgbtq+,
Silent Hill,https://en.wikipedia.org/wiki/Silent_Hill_%28video_game%29,survival horror; psychological horror,Team Silent,NONE LISTED,1999-02-23,PlayStation,third-person,FALSE,TRUE,birth,FALSE,,FALSE,,TRUE,body,FALSE,,FALSE,,FALSE,,TRUE,girl,FALSE,,FALSE,,birth; body; girl,"""He learns that seven years earlier, Dahlia conducted a rite to force Alessa to birth the cult's deity."""
Silent Hill 2,en.wikipedia.org/wiki/Silent_Hill_2,survival horror; psychological horror,Team Silent,NONE LISTED,2001-09-25,Playstation 2; Xbox; Windows,third-person,FALSE,TRUE,mother,TRUE,domestic; domestic abuse; wife,TRUE,trauma; mental illness; hallucination; suicide,TRUE,flesh,TRUE,abducted; locked; escape,TRUE,killed; rape; raped,TRUE,rape; raped,FALSE,,FALSE,,FALSE,,mother; domestic; domestic abuse; wife; trauma; mental illness; hallucination; suicide; flesh; abducted; locked; escape; killed; rape; raped; rape; raped,"""listed it as the 11th most influential game of the decade for its emphasis on psychological horror and exploration of taboo topics such as incest and domestic abuse, rather than gore."""
Silent Hill 3,en.wikipedia.org/wiki/Silent_Hill_3,survival horror; psychological horror,Team Silent,NONE LISTED,2003-05-23,Playstation 2; Windows,third-person,TRUE,FALSE,,FALSE,,FALSE,,TRUE,body,FALSE,,TRUE,murder; murdered; killed,FALSE,,TRUE,teen,FALSE,,FALSE,,body; murder; murdered; killed; teen,"""Early sketches revealed that the creators wanted to dress her like a holy woman, and at one point she had a shaved head, with her body covered with tattoos, however, the creators thought that this way of showing her malevolent side was too obvious."""
Silent Hill 4: The Room,en.wikipedia.org/wiki/Silent_Hill_4,survival horror; psychological horror,Team Silent,NONE LISTED,2004-06-17,Playstation 2; Xbox; Windows,third-person,FALSE,TRUE,mother; baby,FALSE,,TRUE,suicide,TRUE,flesh,FALSE,,TRUE,murder; killed,FALSE,,FALSE,,FALSE,,FALSE,,mother; baby; suicide; flesh; murder; killed,
Silent Hill: Origins,https://en.wikipedia.org/wiki/Silent_Hill%3A_Origins,survival horror; psychological horror,Climax Studios,NONE LISTED,2007-11-06,PlayStation Portable PlayStation 2,third-person,FALSE,TRUE,mother; baby,TRUE,wife,FALSE,,TRUE,body; soul; memories,TRUE,escape,TRUE,killed,FALSE,,TRUE,young girl,FALSE,,FALSE,,mother; baby; wife; body; soul; memories; escape; killed; young girl,"""his mother had been committed to a local mental institution after attempting to kill him, and his father had killed himself, unable to live with the guilt of having his wife condemned.""; "
Silent Hill: Shattered Memories,https://en.wikipedia.org/wiki/Silent_Hill%3A_Shattered_Memories,survival horror; psychological horror,Climax Studios,FALSE,2009-12-08,Wii PlayStation 2 PlayStation Portable,first-person,FALSE,TRUE,daughter,TRUE,wife; family,FALSE,,TRUE,memories,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,daughter; wife; family; memories,"""a drunken Harry yells at Cheryl, demands a beer and blames his drinking on his family."""
Silent Hill: The Short Message,https://en.wikipedia.org/wiki/Silent_Hill%3A_The_Short_Message,psychological horror,Konami Digital Entertainment [ a ],TRUE,2024-01-31,PlayStation 5,,TRUE,TRUE,mother,TRUE,home,TRUE,mental illness; suicide,TRUE,body; memories,TRUE,escape; escaped,TRUE,abused,FALSE,,TRUE,teenage girl; teen,TRUE,witch,FALSE,,mother; home; mental illness; suicide; body; memories; escape; escaped; abused; teenage girl; teen; witch,"""recalls how her mother both neglected and abused her and her younger brother by locking them in the closet."""
Siren: Blood Curse,en.wikipedia.org/wiki/Siren:_Blood_Curse,survival horror,Japan Studio,TRUE,2008-07-24,Playstation 3,third-person,FALSE,TRUE,daughter,FALSE,,FALSE,,TRUE,mutated; memories,TRUE,escape,TRUE,murder; murdered,FALSE,,TRUE,student; high school,FALSE,,FALSE,,daughter; mutated; memories; escape; murder; murdered; student; high school,
Slender: The Arrival,https://en.wikipedia.org/wiki/Slender%3A_The_Arrival,survival horror,Blue Isle Studios Parsec Productions,NONE LISTED,2013-03-26,Windows OS X PlayStation 3 PlayStation 4 Wii U Xbox 360 Xbox One Nintendo Switch Android iOS Remastered Windows PlayStation 5 Xbox Series X/S,first-person,TRUE,FALSE,,FALSE,,TRUE,hallucination,FALSE,,TRUE,escape,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,hallucination; escape,
Sorry We're Closed,https://en.wikipedia.org/wiki/Sorry_We%27re_Closed,survival horror,à la mode games,NONE LISTED,2024-11-14,Windows PlayStation 4 PlayStation 5 Xbox One Xbox Series X/S Nintendo Switch,first-person; third-person,TRUE,FALSE,,FALSE,,FALSE,,TRUE,body; memories,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,lgbtq+,body; memories; lgbtq+,
The 7th Guest,https://en.wikipedia.org/wiki/The_7th_Guest,adventure horror,Trilobyte,NONE LISTED,1993-04-28,"DOS CD-i , Mac OS , Windows , iOS , Android , OS X , Linux , Nintendo Switch , PlayStation 4 , PlayStation 5",,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,killed,FALSE,,FALSE,,FALSE,,FALSE,,killed,
The Cat Lady,en.wikipedia.org/wiki/The_Cat_Lady,adventure horror,Harvester Games,NONE LISTED,2012-12-07,Windows; Linux,,TRUE,TRUE,infant; daughter,TRUE,wife; husband; family,TRUE,depression; suicidal; suicide,FALSE,,TRUE,captive; captivity; escape,TRUE,murder; torture,FALSE,,FALSE,,FALSE,,FALSE,,infant; daughter; wife; husband; family; depression; suicidal; suicide; captive; captivity; escape; murder; torture,"""Susan's schizophrenic neighbor who tortures his wife in secret"""
The Dark Pictures: Switchback VR,https://en.wikipedia.org/wiki/The_Dark_Pictures%3A_Switchback_VR,horror,Supermassive Games,TRUE,2023-03-16,PlayStation 5,,TRUE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,demoness,FALSE,,demoness,"""the young woman on the train reveals herself to be the demoness Belial, Mother of Lies."""
The Dishwasher: Vampire Smile,https://en.wikipedia.org/wiki/The_Dishwasher%3A_Vampire_Smile,psychological horror,Ska Studios,NONE LISTED,2011-04-06,Xbox 360 ( XBLA ) Microsoft Windows Linux macOS,side-scroll,TRUE,FALSE,,FALSE,,TRUE,hallucination,TRUE,body; implant,TRUE,escape; prison;  incarceration,TRUE,violent; violence; murder; killed; stabbed,FALSE,,FALSE,,FALSE,,FALSE,,hallucination; body; implant; escape; prison;  incarceration; violent; violence; murder; killed; stabbed,"""she breaks out of the prison and stows herself away in an escape pod shortly after getting her arm cut off in battle."""
The Evil Within 2,https://en.wikipedia.org/wiki/The_Evil_Within_2,survival horror,Tango Gameworks,NONE LISTED,2017-10-13,PlayStation 4 Windows Xbox One,third-person,FALSE,TRUE,daughter,FALSE,,FALSE,,FALSE,,TRUE,kidnapped; locked; escape,TRUE,killed,FALSE,,FALSE,,FALSE,,FALSE,,daughter; kidnapped; locked; escape; killed,
The Last of Us,https://en.wikipedia.org/wiki/The_Last_of_Us_%28video_game%29,survival horror,Naughty Dog,NONE LISTED,2013-06-14,PlayStation 3 PlayStation 4,third-person,TRUE,FALSE,,FALSE,,TRUE,trauma,FALSE,,TRUE,escape,FALSE,,FALSE,,TRUE,teenage girl; teen; young girl; coming of age,FALSE,,TRUE,lgbtq+,trauma; escape; teenage girl; teen; young girl; coming of age; lgbtq+,"""Reviewers praised the character development, story and subtext, visual and sound design, and depiction of female and LGBT characters."""
The Last of Us Part II,https://en.wikipedia.org/wiki/The_Last_of_Us_Part_II,survival horror,Naughty Dog [ a ],TRUE,2020-06-19,PlayStation 4 PlayStation 5 Windows,third-person,TRUE,TRUE,mother; pregnant; her son,FALSE,,TRUE,trauma; post-traumatic,FALSE,,TRUE,escape,FALSE,,FALSE,,TRUE,teen,FALSE,,TRUE,lgbtq,mother; pregnant; her son; trauma; post-traumatic; escape; teen; lgbtq,
The Medium,https://en.wikipedia.org/wiki/The_Medium_(video_game),psychological horror,Bloober Team,FALSE,2021-01-28,Windows; Xbox Series X/S; Playstation 5; macOS; Nintendo Switch,third-person,TRUE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,murder; murdered; kill,FALSE,,TRUE,young,TRUE,malevolent spirit,FALSE,,murder; murdered; kill; young; malevolent spirit,"""the spirit of a young girl who warns her of the Maw, a hostile and malevolent spirit that has managed to also partially exist in the real world."""
The Mortuary Assistant,https://en.wikipedia.org/wiki/The_Mortuary_Assistant,horror,DarkStone Digital,NONE LISTED,2022-08-02,Windows Nintendo Switch PlayStation 4 PlayStation 5 Xbox One Xbox Series X/S,first-person,TRUE,TRUE,mother,FALSE,,TRUE,hallucination,TRUE,flesh; memories,TRUE,chained; locked,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,mother; hallucination; flesh; memories; chained; locked,
The Path,https://en.wikipedia.org/wiki/The_Path_(video_game),psychological horror,Tale of Tales,TRUE,2009-03-18,Microsoft Windows Mac OS X [ 1 ],first-person,TRUE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,girl,FALSE,,FALSE,,girl,
The Tartarus Key,https://en.wikipedia.org/wiki/The_Tartarus_Key,adventure horror,Vertical Reach,TRUE,2023-05-31,Nintendo Switch PlayStation 4 Windows Xbox One Xbox Series X/S,first-person,TRUE,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,escape,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,escape,
The Town of Light,en.wikipedia.org/wiki/The_Town_of_Light,psychological horror; adventure horror,LKA,NONE LISTED,2016-02-26,Windows; Playstation 4; Xbox One; Nintendo Switch,,TRUE,TRUE,mother,TRUE,relationship,TRUE,mental illness; depression; asylum,FALSE,,FALSE,,FALSE,,TRUE,sexual abuse,TRUE,girl,FALSE,,TRUE,lgbtq+,mother; relationship; mental illness; depression; asylum; girl; sexual abuse; lgbtq+,"""Renée discovers Amara, another patient, and a romance ensues.""; ""it becomes known that Renée was admitted due to promiscuity, depression, and a volatile relationship with her mother."""
The Walking Dead,https://en.wikipedia.org/wiki/The_Walking_Dead_%28video_game%29,graphic adventure,Telltale Games,NONE LISTED,2012-04-24,Platforms Android iOS Kindle Fire HDX OS X Windows Nintendo Switch Ouya PlayStation 3 PlayStation 4 PlayStation Vita Xbox 360 Xbox One,point-and-click,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,young girl,FALSE,,FALSE,,young girl,
The Walking Dead: Season Two,https://en.wikipedia.org/wiki/The_Walking_Dead%3A_Season_Two,graphic adventure,Telltale Games,TRUE,2013-12-17,"Windows , OS X , PlayStation 3 , Xbox 360 , iOS , PlayStation Vita , PlayStation 4 , Xbox One , Nintendo Switch , Ouya , Android",point-and-click,,TRUE,pregnant; daughter,FALSE,,FALSE,,FALSE,,TRUE,,TRUE,killed,FALSE,,TRUE,teen; young girl,FALSE,,FALSE,,pregnant; daughter; killed; teen; young girl,
The Walking Dead: The Final Season,https://en.wikipedia.org/wiki/The_Walking_Dead%3A_The_Final_Season,adventure horror,Telltale Games (episodes 1–2) Skybound Games (episodes 3–4),TRUE,2018-08-14,Nintendo Switch PlayStation 4 Windows Xbox One,point-and-click,TRUE,FALSE,,FALSE,,TRUE,trauma,FALSE,,TRUE,escape,TRUE,murder; killed,FALSE,,TRUE,teen; youth,FALSE,,TRUE,lgbtq+,trauma; escape; murder; killed; teen; youth; lgbtq+,"Wikipedia categorizes this game as ""Fiction about child abuse""."
The Witch’s House,en.wikipedia.org/wiki/The_Witch%27s_House,adventure horror; survival horror,Fummy,NONE LISTED,2012-10-03,Microsoft Windows; macOS; Nintendo Switch; Playstation 4; Xbox One,birds-eye view,TRUE,FALSE,,FALSE,,FALSE,,TRUE,body; illness,FALSE,,FALSE,,FALSE,,TRUE,young girl,TRUE,witch,FALSE,,body; illness; young girl; witch,"""The house belongs to the witch Ellen, who was originally a young girl affected by an unknown illness and neglected by her parents."""
Theresia,https://en.wikipedia.org/wiki/Theresia_%28video_game%29,psychological horror,WorkJam,NONE LISTED,2008-09-11,Nintendo DS,first-person,TRUE,TRUE,mother,FALSE,,FALSE,,TRUE,infected,TRUE,chained; locked; prison; restrained,TRUE,murdered; killed,FALSE,,TRUE,teenage girl,FALSE,,FALSE,,mother; infected; chained; locked; prison; restrained; murdered; killed; teenage girl,"""Leanne finds her mother's body and mourns. She takes the final key needed for her escape."""
Tormented Souls,https://en.wikipedia.org/wiki/Tormented_Souls,survival horror,Dual Effect,NONE LISTED,2021-08-27,Nintendo Switch PlayStation 4 PlayStation 5 Windows Xbox One Xbox Series X/S,third-person,TRUE,TRUE,mother; maternal,FALSE,,FALSE,,TRUE,mutation; mutated; soul,TRUE,imprisoned; captivity; escape; escaped,TRUE,kill,FALSE,,FALSE,,TRUE,monster,FALSE,,mother; maternal; mutation; mutated; soul; imprisoned; captivity; escape; escaped; kill; monster,"""Anna has been mutated into a horrific monster."""
Unforgiving: A Northern Hymn,https://en.wikipedia.org/wiki/Unforgiving%3A_A_Northern_Hymn,psychological horror; survival horror,Angry Demon Studio,TRUE,2017-11-27,Windows,first-person,TRUE,TRUE,mother,FALSE,,FALSE,,FALSE,,TRUE,kidnapped; escape,TRUE,kill,FALSE,,FALSE,,TRUE,tree spirit,FALSE,,mother; kidnapped; escape; kill; tree spirit,"""a tree spirit that resembles a mother and child."""
Until Dawn,en.wikipedia.org/wiki/Until_Dawn,survival horror,Supermassive Games,NONE LISTED,2015-08-25,Playstation 4; Playstation 5; Windows,third-person,TRUE,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,abducted; escape,TRUE,killed; torture,FALSE,,TRUE,teen,FALSE,,FALSE,,abducted; escape; killed; torture; teen,
We Know the Devil,en.wikipedia.org/wiki/We_Know_the_Devil,horror,Date Nighto,TRUE,2015-09-12,Windows; MacOS,visual novel,TRUE,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,teen,FALSE,,TRUE,queer,teen; queer,
What Remains of Edith Finch,en.wikipedia.org/wiki/What_Remains_of_Edith_Finch,adventure horror,Giant Sparrow,NONE LISTED,2017-04-25,Playstation 4; Windows; Xbox One; Nintendo Switch; iOS; Playstation 5; Xbox Series X/S,first-person,TRUE,TRUE,mother; pregnant; pregnancy; childbirth; infant; daughter,TRUE,wife; husband; family,TRUE,trauma; mental illness; suicide,TRUE,body,FALSE,,TRUE,murder; murdered,FALSE,,TRUE,teen; adolescent; high school,FALSE,,FALSE,,mother; pregnant; pregnancy; childbirth; infant; daughter; wife; husband; family; trauma; mental illness; suicide; body; murder; murdered; teen; adolescent; high school,"""the player is able to look down from the first-person view in-game at Edith's body and see her belly, hinting about her pregnancy."""
Wilson's Heart,https://en.wikipedia.org/wiki/Wilson%27s_Heart_%28video_game%29,adventure horror,Twisted Pixel Games,NONE LISTED,2017-04-25,Windows,first-person,TRUE,TRUE,son,FALSE,,FALSE,,TRUE,body,TRUE,shackled,TRUE,kill,FALSE,,TRUE,young girl; girl,TRUE,vampire,FALSE,,son; body; shackled; kill; young girl; girl; vampire,"""she is a vampire when she murders and drinks the blood of a hospital orderly."""